episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-6.209999999999999,0,3,72,0.985074875,,0,wall_collision
4,-6.159999999999999,0,3,77,0.9801495006250001,,0,wall_collision
5,-6.42,0,3,23,0.9752487531218751,,0,wall_collision
6,-6.780000000000001,0,3,219,0.9703725093562657,,0,wall_collision
7,-4.64,0,3,25,0.9655206468094844,,0,wall_collision
8,-6.94,0,3,115,0.960693043575437,,0,wall_collision
9,-5.47,0,3,18,0.9558895783575597,,0,wall_collision
10,-6.920000000000003,0,3,213,0.9511101304657719,,0,wall_collision
11,-6.02,0,3,23,0.946354579813443,,0,wall_collision
12,-7.07,0,3,38,0.9416228069143757,,0,wall_collision
13,-7.58,0,3,159,0.9369146928798039,0.05959595854709491,79,wall_collision
14,-9.780000000000005,0,3,359,0.9322301194154049,0.011428972422355277,359,wall_collision
15,-5.95,0,3,26,0.9275689688183278,0.00035480143728469,26,wall_collision
16,-7.41,0,3,72,0.9229311239742362,0.00031038495914496406,72,wall_collision
17,5.490000000000002,1,4,23,0.918316468354365,0.0010030742838432122,23,wall_collision
18,-7.080000000000001,0,3,129,0.9137248860125932,0.008725247879209386,129,wall_collision
19,13.840000000000018,2,5,119,0.9091562615825302,0.006579263724837679,119,self_collision
20,-6.8100000000000005,0,3,32,0.9046104802746175,0.02358637920451656,32,wall_collision
21,-5.67,0,3,38,0.9000874278732445,0.03156137683560557,38,wall_collision
22,-5.33,0,3,24,0.8955869907338783,0.018518712064784875,24,wall_collision
23,-6.8500000000000005,0,3,156,0.8911090557802088,0.013119106610713808,156,wall_collision
24,-5.889999999999999,0,3,120,0.8866535105013078,0.013122207036940382,120,wall_collision
25,-5.38,0,3,39,0.8822202429488013,0.004743951564962164,39,wall_collision
26,14.910000000000007,2,5,42,0.8778091417340573,0.0293565170556706,42,self_collision
27,-4.52,0,3,93,0.8734200960253871,0.01697811488217364,93,wall_collision
28,-6.290000000000001,0,3,100,0.8690529955452602,0.025651824579981622,100,wall_collision
29,-5.449999999999999,0,3,96,0.8647077305675338,0.022131423878211837,96,wall_collision
30,-4.779999999999999,0,3,59,0.8603841919146962,0.033102063255451654,59,wall_collision
31,-5.819999999999999,0,3,43,0.8560822709551227,0.02456115906838826,43,wall_collision
32,6.200000000000008,1,4,62,0.851801859600347,0.02409633359779799,62,wall_collision
33,4.640000000000024,1,4,158,0.8475428503023453,0.022701633314394298,158,wall_collision
34,-6.0,0,3,61,0.8433051360508336,0.029100327544986867,61,wall_collision
35,5.960000000000001,1,4,46,0.8390886103705794,0.016383297828724608,46,wall_collision
36,4.3300000000000125,1,4,139,0.8348931673187264,0.02927249317809524,139,wall_collision
37,-4.31,0,3,42,0.8307187014821328,0.010440656621496947,42,wall_collision
38,-5.59,0,3,50,0.8265651079747222,0.020727469603298233,50,wall_collision
39,-5.5,0,3,51,0.8224322824348486,0.025501599961060883,51,wall_collision
40,-6.620000000000001,0,3,63,0.8183201210226743,0.025808644148388078,63,wall_collision
41,4.910000000000002,1,4,161,0.8142285204175609,0.03304451299933948,161,wall_collision
42,-5.1,0,3,31,0.810157377815473,0.021015282386102743,31,wall_collision
