episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.99,,0,wall_collision
2,-6.640000000000001,0,3,65,0.9801,,0,wall_collision
3,-7.23,0,3,74,0.9702989999999999,,0,wall_collision
4,-6.960000000000001,0,3,77,0.96059601,,0,wall_collision
5,-6.6000000000000005,0,3,21,0.9509900498999999,,0,wall_collision
6,-7.620000000000001,0,3,183,0.9414801494009999,,0,wall_collision
7,-7.000000000000002,0,3,101,0.9320653479069899,,0,wall_collision
8,-6.5,0,3,91,0.92274469442792,,0,wall_collision
9,4.7000000000000295,1,4,192,0.9135172474836407,,0,wall_collision
10,-4.93,0,3,44,0.9043820750088043,,0,wall_collision
11,-5.94,0,3,55,0.8953382542587163,,0,wall_collision
12,-5.63,0,3,34,0.8863848717161291,,0,wall_collision
13,5.440000000000001,1,4,78,0.8775210229989678,0.06419129906831547,47,wall_collision
14,15.720000000000002,2,5,111,0.8687458127689781,0.03688054207475386,111,self_collision
15,-5.789999999999999,0,3,130,0.8600583546412883,0.03125545750506437,130,wall_collision
16,-5.199999999999999,0,3,41,0.8514577710948754,0.05128349613315971,41,wall_collision
17,4.750000000000011,1,4,97,0.8429431933839266,0.027271677866834935,97,wall_collision
18,-5.3100000000000005,0,3,62,0.8345137614500874,0.03128456346307611,62,wall_collision
19,14.46,2,5,87,0.8261686238355865,0.03354894072513214,87,self_collision
20,-5.54,0,3,15,0.8179069375972307,0.0498210636821265,15,wall_collision
21,-5.29,0,3,60,0.8097278682212583,0.04187789090210572,60,wall_collision
22,5.530000000000003,1,4,59,0.8016305895390458,0.03768295838233178,59,wall_collision
23,5.160000000000013,1,4,86,0.7936142836436553,0.0385307819152056,86,wall_collision
24,-4.2700000000000005,0,3,18,0.7856781408072188,0.03358602982674105,18,wall_collision
25,4.940000000000017,1,4,128,0.7778213593991465,0.04390640894234821,128,wall_collision
26,15.220000000000002,2,5,21,0.7700431458051551,0.062471733772240225,21,self_collision
27,-5.199999999999999,0,3,161,0.7623427143471035,0.04936435204599435,161,wall_collision
28,-5.079999999999999,0,3,89,0.7547192872036325,0.07264183885862611,89,wall_collision
29,-4.409999999999999,0,3,52,0.7471720943315961,0.06968044650812562,52,wall_collision
30,6.17,1,4,55,0.7397003733882802,0.045081600599752907,55,wall_collision
31,-5.54,0,3,35,0.7323033696543974,0.06019190153373139,35,wall_collision
32,5.390000000000002,1,4,73,0.7249803359578534,0.05197981838774804,73,wall_collision
33,15.770000000000028,2,5,216,0.7177305325982748,0.04538544899939249,216,self_collision
34,16.34,2,5,29,0.7105532272722921,0.09171543913443797,29,self_collision
35,-4.27,0,3,38,0.7034476949995692,0.06568975907162224,38,wall_collision
36,16.100000000000012,2,5,93,0.6964132180495735,0.04791730194808214,93,self_collision
37,6.020000000000001,1,4,40,0.6894490858690777,0.07333543083514087,40,wall_collision
38,5.05000000000001,1,4,167,0.682554595010387,0.06411059808772347,167,wall_collision
39,-4.8,0,3,21,0.6757290490602831,0.030362378002055698,21,wall_collision
40,5.780000000000001,1,4,64,0.6689717585696803,0.05489031247634557,64,wall_collision
41,17.090000000000003,2,5,104,0.6622820409839835,0.06209284516472298,104,self_collision
42,-4.4799999999999995,0,3,29,0.6556592205741436,0.06871248201611613,29,wall_collision
43,7.010000000000002,1,4,91,0.6491026283684022,0.0614836975435757,91,wall_collision
44,-4.4399999999999995,0,3,25,0.6426116020847181,0.0723988933674991,25,wall_collision
45,15.68,2,5,65,0.6361854860638709,0.05760888589205793,65,wall_collision
46,17.700000000000006,2,5,93,0.6298236312032323,0.0680802946770063,93,self_collision
47,27.86,3,6,78,0.6235253948912,0.08257917383199152,78,wall_collision
48,26.860000000000014,3,6,98,0.617290140942288,0.09437827424654661,98,wall_collision
49,5.220000000000004,1,4,40,0.6111172395328651,0.09976300683338195,40,wall_collision
50,17.29,2,5,64,0.6050060671375365,0.09713630719124922,64,self_collision
51,-4.2,0,3,21,0.5989560064661611,0.12137830264068075,21,wall_collision
52,-4.03,0,3,54,0.5929664464014994,0.09922624392762643,54,wall_collision
53,5.57,1,4,15,0.5870367819374844,0.12762045164903005,15,wall_collision
54,15.630000000000003,2,5,30,0.5811664141181095,0.09997729815077036,30,self_collision
55,-5.02,0,3,43,0.5753547499769285,0.10629935953278788,43,wall_collision
56,27.370000000000033,3,6,77,0.5696012024771592,0.09303890236399391,77,self_collision
57,-3.96,0,3,37,0.5639051904523876,0.08876676895227786,37,wall_collision
58,28.08000000000007,3,6,136,0.5582661385478638,0.10042929401970468,136,self_collision
59,6.680000000000003,1,4,74,0.5526834771623851,0.09900107431363918,74,wall_collision
60,5.630000000000003,1,4,29,0.5471566423907612,0.1471636744762032,29,wall_collision
61,15.68,2,5,35,0.5416850759668536,0.08889273729707514,35,self_collision
62,16.740000000000006,2,5,89,0.536268225207185,0.12380435167461257,89,self_collision
63,16.01,2,5,32,0.5309055429551132,0.13826452144712675,32,self_collision
64,5.690000000000001,1,4,23,0.525596487525562,0.13949261087438333,23,wall_collision
65,6.210000000000001,1,4,51,0.5203405226503064,0.11156272124407776,51,wall_collision
66,-3.57,0,3,28,0.5151371174238033,0.09779349145745593,28,wall_collision
67,27.690000000000055,3,6,125,0.5099857462495653,0.11093423348478973,125,self_collision
68,27.180000000000042,3,6,106,0.5048858887870696,0.11855843608522401,106,self_collision
69,5.650000000000002,1,4,27,0.4998370298991989,0.08041562772080026,27,wall_collision
70,5.760000000000002,1,4,26,0.49483865960020695,0.1422698363267745,26,wall_collision
71,16.63,2,5,30,0.4898902730042049,0.11404643089820941,30,self_collision
72,17.35,2,5,58,0.48499137027416284,0.152250756533688,58,self_collision
73,15.530000000000005,2,5,40,0.4801414565714212,0.12495236620889046,40,wall_collision
74,15.490000000000006,2,5,44,0.475340042005707,0.1095145305629227,44,wall_collision
75,17.24000000000001,2,5,119,0.47058664158564995,0.1332039012663661,119,self_collision
76,36.72000000000002,4,7,113,0.4658807751697934,0.1400311772311848,113,wall_collision
77,5.820000000000002,1,4,60,0.4612219674180955,0.14008191671067227,60,wall_collision
78,16.440000000000005,2,5,59,0.45660974774391455,0.1206958427930535,59,self_collision
79,48.05000000000006,5,8,71,0.4520436502664754,0.14126405281565663,71,wall_collision
80,38.03000000000008,4,7,82,0.44752321376381066,0.1450851931855673,82,self_collision
81,17.590000000000003,2,5,54,0.44304798162617254,0.133233936309504,54,self_collision
82,15.420000000000005,2,5,61,0.4386175018099108,0.1751177169642121,61,self_collision
83,17.320000000000004,2,5,71,0.4342313267918117,0.15948494757250162,71,wall_collision
84,-4.359999999999999,0,3,37,0.4298890135238936,0.16625010808678092,37,wall_collision
85,27.220000000000027,3,6,102,0.42559012338865465,0.1574998611365171,102,self_collision
