episode,reward,score,snake_length,steps,epsilon,avg_loss,num_learning_updates,termination_reason
1,-6.1,0,3,31,0.995,,0,wall_collision
2,-6.640000000000001,0,3,65,0.990025,,0,wall_collision
3,-7.23,0,3,74,0.985074875,,0,wall_collision
4,-6.2299999999999995,0,3,74,0.9801495006250001,,0,wall_collision
5,-6.33,0,3,24,0.9752487531218751,,0,wall_collision
6,-7.280000000000001,0,3,149,0.9703725093562657,,0,wall_collision
7,-6.15,0,3,46,0.9655206468094844,,0,wall_collision
8,-7.21,0,3,152,0.960693043575437,,0,wall_collision
9,5.73,1,4,19,0.9558895783575597,,0,wall_collision
10,-6.26,0,3,27,0.9511101304657719,,0,wall_collision
11,-6.750000000000001,0,3,226,0.946354579813443,,0,wall_collision
12,-6.720000000000001,0,3,33,0.9416228069143757,,0,wall_collision
13,-6.08,0,3,29,0.9369146928798039,,0,wall_collision
14,-5.31,0,3,42,0.9322301194154049,,0,wall_collision
15,4.0800000000000125,1,4,194,0.9275689688183278,0.041978625140355656,186,wall_collision
16,3.9000000000000092,1,4,72,0.9229311239742362,0.01782263268776458,72,wall_collision
17,-7.74,0,3,175,0.918316468354365,0.02382350338390097,175,wall_collision
18,-6.950000000000001,0,3,106,0.9137248860125932,0.015318439717685699,106,wall_collision
19,-6.120000000000001,0,3,93,0.9091562615825302,0.014562877535354346,93,wall_collision
20,-6.54,0,3,75,0.9046104802746175,0.01807808134627218,75,wall_collision
21,-5.54,0,3,35,0.9000874278732445,0.014629436221106776,35,wall_collision
22,-5.51,0,3,82,0.8955869907338783,0.011425209181275355,82,wall_collision
23,-7.1800000000000015,0,3,39,0.8911090557802088,0.003275351665275267,39,wall_collision
24,-4.07,0,3,38,0.8866535105013078,0.02185365600522154,38,wall_collision
25,14.76000000000002,2,5,207,0.8822202429488013,0.029640343146801338,207,self_collision
26,14.08000000000002,2,5,95,0.8778091417340573,0.05305963432612388,95,self_collision
27,-4.89,0,3,100,0.8734200960253871,0.04878704113129061,100,wall_collision
28,-4.869999999999999,0,3,58,0.8690529955452602,0.0631515435384715,58,wall_collision
29,-5.1,0,3,71,0.8647077305675338,0.07124666419391795,71,wall_collision
30,-4.72,0,3,53,0.8603841919146962,0.05507469850917399,53,wall_collision
31,-6.1800000000000015,0,3,159,0.8560822709551227,0.05554255066804131,159,wall_collision
32,6.170000000000005,1,4,75,0.851801859600347,0.059817141227734585,75,wall_collision
33,4.120000000000012,1,4,70,0.8475428503023453,0.0664570944965817,70,wall_collision
34,14.160000000000018,2,5,227,0.8433051360508336,0.06230485080131063,227,self_collision
35,-5.029999999999999,0,3,54,0.8390886103705794,0.032135535147972405,54,wall_collision
36,4.360000000000024,1,4,146,0.8348931673187264,0.0439186015043548,146,wall_collision
37,-6.03,0,3,54,0.8307187014821328,0.048177872314462786,54,wall_collision
38,-4.47,0,3,58,0.8265651079747222,0.041400855491419544,58,wall_collision
39,-4.81,0,3,52,0.8224322824348486,0.046327921255187206,52,wall_collision
40,-5.3,0,3,31,0.8183201210226743,0.0614883899500954,31,wall_collision
41,-4.27,0,3,18,0.8142285204175609,0.06529323303968543,18,wall_collision
42,-5.869999999999999,0,3,78,0.810157377815473,0.03818170315711401,78,wall_collision
43,-5.16,0,3,37,0.8061065909263957,0.027498848984848608,37,wall_collision
